,name,nationality,position,age,matches_played,starts,minutes,ninteys,goals,assists,yellow_card,red_card,progressive_carries,progressive_passes,goals_conceeded,shots_on_target_against,saves,clean_sheets,shots,shots_on_target,passes_com,passes_com_s,passes_com_m,passes_com_l,key_passes,passes_into_third,passes_into_pen,touches,touches_def_pen,touches_def_third,touches_mid_third,touches_att_third,touches_att_pen,sucessful_takeons,aerial_duels_won,fouls_committed,fouls_drawn,total_tackles,successful_tackles,percent_of_dribblers_tackled,blocks,shot_blocks,interceptions,clearances,salary,estimated_market_value,number,club
0,Aaron Ramsdale,ENG,GK,24,25,25,2250,25.0,0,0,0,0,0,5,23,79,57,11,0,0,68.8,96.1,98.4,38.4,0,19,2,770,558,757,13,0,0,100.0,100.0,0,3,1,1,100.0,0,0,0,14,3276000,36784000.0,1,Arsenal
1,William Saliba,FRA,DF,21,25,25,2235,24.8,2,1,4,0,8,81,NULL,NULL,NULL,NULL,5,3,90.9,93.4,92.9,76.5,4,91,2,1872,162,842,995,40,11,66.7,57.5,18,13,29,16,82.4,11,8,18,77,1872000,21736000.0,12,Arsenal
2,Bukayo Saka,ENG,FW,21,25,25,2152,23.9,10,9,5,0,114,65,NULL,NULL,NULL,NULL,60,18,75.0,87.5,79.4,47.2,54,32,43,1260,10,102,337,834,145,36.0,22.2,29,43,33,21,27.8,29,0,13,17,1716000,59488000.0,7,Arsenal
3,Granit Xhaka,SUI,MF,30,25,25,2107,23.4,3,5,3,0,30,152,NULL,NULL,NULL,NULL,26,5,84.4,89.2,86.5,80.6,37,114,31,1387,62,238,647,508,78,42.9,55.6,17,31,21,15,45.5,22,9,10,34,5200000,26400000.0,34,Arsenal
4,Martin Odegaard,NOR,MF,24,24,24,2036,22.6,9,6,3,0,59,172,NULL,NULL,NULL,NULL,59,17,79.9,87.5,81.4,65.5,56,78,58,1310,16,123,547,655,84,60.4,38.5,22,17,20,13,16.0,10,2,3,7,5980000,51480000.0,8,Arsenal
5,Martinelli,BRA,FW,21,25,24,2004,22.3,11,2,3,0,92,75,NULL,NULL,NULL,NULL,58,22,74.5,85.9,81.5,48.5,40,25,31,1103,11,101,303,716,161,41.6,17.6,29,26,19,11,25.0,18,1,8,11,2444000,34672000.0,11,Arsenal
6,Ben White,ENG,DF,25,25,24,1949,21.7,0,2,4,0,46,172,NULL,NULL,NULL,NULL,6,0,83.4,91.0,87.1,55.0,17,161,27,1696,56,347,891,466,25,25.0,47.9,14,18,45,26,69.8,32,7,13,53,NULL,45848000.0,4,Arsenal
7,Thomas Partey,GHA,MF,29,20,18,1591,17.7,2,0,2,0,17,142,NULL,NULL,NULL,NULL,22,3,86.3,90.1,89.1,71.9,20,142,15,1481,48,273,929,290,15,68.0,54.1,19,12,44,26,51.4,14,4,20,29,8320000,NULL,5,Arsenal
8,Oleksandr Zinchenko,UKR,DF,26,18,17,1430,15.9,1,2,2,0,52,163,NULL,NULL,NULL,NULL,19,6,86.6,92.5,87.6,69.1,13,126,30,1415,42,292,708,427,23,71.4,70.0,2,9,28,12,51.7,15,0,14,23,5200000,40304000.0,35,Arsenal
9,Gabriel Jesus,BRA,FW,25,14,14,1219,13.5,5,5,4,0,30,38,NULL,NULL,NULL,NULL,50,20,80.8,85.0,88.3,68.0,22,23,12,637,16,53,242,345,123,40.9,34.3,24,38,19,16,43.8,15,2,8,10,5200000,58168000.0,9,Arsenal
10,Eddie Nketiah,ENG,FW,23,23,9,1001,11.1,4,1,2,0,30,15,NULL,NULL,NULL,NULL,40,14,81.7,86.6,85.2,83.3,7,7,6,379,10,34,143,208,79,48.5,25.0,27,24,12,9,33.3,7,1,1,7,4004000,15224000.0,14,Arsenal
11,Takehiro Tomiyasu,JPN,DF,24,19,5,607,6.7,0,1,2,0,9,47,NULL,NULL,NULL,NULL,2,0,81.6,87.1,86.2,58.0,4,36,6,487,25,128,265,98,10,33.3,40.0,6,3,23,15,70.6,5,0,13,15,2964000,17952000.0,18,Arsenal
12,Kieran Tierney,SCO,DF,25,17,4,479,5.3,0,0,0,0,17,27,NULL,NULL,NULL,NULL,5,2,74.8,86.0,81.6,51.1,3,26,6,378,14,82,178,119,7,0.0,16.7,4,4,10,5,80.0,5,1,9,14,5720000,36256000.0,3,Arsenal
13,Jorginho,ITA,MF,31,5,4,347,3.9,0,0,0,0,6,49,NULL,NULL,NULL,NULL,3,0,83.6,87.4,87.5,75.0,3,37,6,325,10,59,193,75,7,50.0,46.2,3,4,8,4,11.1,2,1,4,3,NULL,15840000.0,20,Arsenal
14,Leandro Trossard,BEL,FW,28,7,3,292,3.2,1,2,0,0,20,19,NULL,NULL,NULL,NULL,7,2,74.3,84.4,69.2,70.6,5,6,10,170,0,14,37,121,22,66.7,0.0,5,6,6,4,42.9,2,0,1,0,4680000,14168000.0,19,Arsenal
15,Fabio Vieira,POR,MF,22,15,1,313,3.5,1,2,0,0,4,20,NULL,NULL,NULL,NULL,10,2,79.4,90.6,82.5,40.0,5,17,6,221,3,19,108,96,14,27.3,50.0,3,2,4,2,66.7,2,0,4,1,4264000,17424000.0,21,Arsenal
16,Mohamed Elneny,EGY,MF,30,5,1,113,1.3,0,0,0,0,1,2,NULL,NULL,NULL,NULL,0,0,95.0,100.0,93.1,100.0,0,3,2,63,2,11,42,11,0,NULL,0.0,1,1,1,1,100.0,0,0,0,0,2548000,3872000.0,25,Arsenal
17,Reiss Nelson,ENG,FW,23,2,0,65,0.7,2,1,0,0,8,1,NULL,NULL,NULL,NULL,3,3,89.7,96.0,85.7,100.0,2,0,2,47,0,5,7,36,8,100.0,0.0,2,2,1,0,100.0,0,0,0,0,1976000,4048000.0,24,Arsenal
18,Emile Smith Rowe,ENG,MF,22,6,0,61,0.7,0,0,0,0,0,2,NULL,NULL,NULL,NULL,3,1,83.9,100.0,84.6,66.7,3,1,2,39,1,8,12,19,3,66.7,0.0,1,0,1,1,50.0,0,0,0,2,2600000,20944000.0,10,Arsenal
19,Rob Holding,ENG,DF,27,7,0,20,0.2,0,0,0,0,0,1,NULL,NULL,NULL,NULL,0,0,83.3,100.0,100.0,0.0,0,0,0,8,2,6,2,0,0,NULL,50.0,0,0,1,1,NULL,0,0,0,1,1976000,7392000.0,16,Arsenal
20,Ethan Nwaneri,ENG,FW,15,1,0,1,0.0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,0,0,0,1,0,0,0,1,0,NULL,NULL,0,0,0,0,NULL,1,0,0,0,NULL,NULL,83,Arsenal
