,name,nationality,position,age,matches_played,starts,minutes,ninteys,goals,assists,yellow_card,red_card,progressive_carries,progressive_passes,goals_conceeded,shots_on_target_against,saves,clean_sheets,shots,shots_on_target,passes_com,passes_com_s,passes_com_m,passes_com_l,key_passes,passes_into_third,passes_into_pen,touches,touches_def_pen,touches_def_third,touches_mid_third,touches_att_third,touches_att_pen,sucessful_takeons,aerial_duels_won,fouls_committed,fouls_drawn,total_tackles,successful_tackles,percent_of_dribblers_tackled,blocks,shot_blocks,interceptions,clearances,salary,estimated_market_value,number
0,David de Gea,ESP,GK,32,24,24,2160,24.0,0,0,0,0,0,0,28,92,65,10,0,0,72.5,100.0,98.4,43.3,1,2,1,805,668,801,4,0,0,NULL,100.0,0,2,0,0,NULL,0,0,0,9,19500000,5544000.0,1
1,Bruno Fernandes,POR,MF,28,23,23,2068,23.0,5,6,5,0,50,155,NULL,NULL,NULL,NULL,50,17,73.2,85.3,76.8,55.2,66,78,52,1416,50,223,573,635,84,43.2,23.8,28,28,54,32,51.1,22,2,15,30,13000000,69608000.0,8
2,Marcus Rashford,ENG,FW,25,24,22,1952,21.7,14,3,2,0,53,54,NULL,NULL,NULL,NULL,66,30,75.6,84.4,80.5,59.1,18,22,32,815,12,74,305,451,119,34.1,35.4,9,16,18,8,44.4,24,3,5,6,11700000,47520000.0,10
3,Lisandro Martínez,ARG,DF,25,22,19,1688,18.8,1,0,4,0,11,68,NULL,NULL,NULL,NULL,6,1,87.0,93.5,94.1,49.0,6,72,5,1450,229,749,664,47,8,100.0,54.9,17,8,41,20,76.5,39,21,26,80,6240000,50952000.0,6
4,Luke Shaw,ENG,DF,27,20,19,1661,18.5,1,2,4,0,46,91,NULL,NULL,NULL,NULL,9,4,81.9,91.2,84.6,51.9,21,107,22,1545,100,491,734,332,15,30.0,57.1,30,18,34,19,80.8,34,9,25,34,8840000,12672000.0,23
5,Christian Eriksen,DEN,MF,31,19,18,1489,16.5,1,7,3,0,16,104,NULL,NULL,NULL,NULL,23,8,78.9,88.1,83.8,50.7,25,89,17,1150,37,210,629,312,22,25.0,43.8,10,6,12,10,27.8,17,7,8,18,8840000,14872000.0,14
6,Diogo Dalot,POR,DF,23,17,16,1430,15.9,0,2,5,0,36,58,NULL,NULL,NULL,NULL,16,4,78.1,88.4,83.5,53.5,23,63,23,1118,76,381,475,269,28,57.7,71.8,15,3,35,27,71.9,20,7,24,32,1664000,7568000.0,20
7,Raphaël Varane,FRA,DF,29,17,15,1299,14.4,0,0,1,0,11,44,NULL,NULL,NULL,NULL,5,2,86.4,90.5,92.7,52.7,3,60,3,926,111,434,461,33,13,50.0,69.4,9,2,19,7,41.7,19,12,9,67,18200000,37048000.0,19
8,Casemiro,BRA,MF,31,17,13,1230,13.7,2,3,5,1,8,82,NULL,NULL,NULL,NULL,17,5,77.7,83.6,82.3,60.5,16,77,14,1054,63,316,567,181,14,33.3,68.1,31,19,56,26,61.7,28,6,22,38,15600000,53592000.0,18
9,Antony,BRA,FW,23,12,11,908,10.1,3,0,3,0,48,28,NULL,NULL,NULL,NULL,33,14,77.2,86.6,70.2,48.0,8,14,8,531,5,81,177,287,35,32.3,27.3,4,13,14,3,33.3,8,0,4,3,7800000,66880000.0,21
10,Jadon Sancho,ENG,FW,22,13,11,851,9.5,4,1,0,0,39,36,NULL,NULL,NULL,NULL,11,6,82.8,88.7,86.3,50.0,22,8,19,462,3,52,163,255,51,32.4,18.2,4,6,6,4,37.5,8,0,4,3,14300000,55440000.0,25
11,Tyrell Malacia,NED,DF,23,14,10,905,10.1,0,0,3,0,14,28,NULL,NULL,NULL,NULL,3,1,83.3,91.7,84.2,51.4,1,25,2,605,37,237,237,136,7,16.7,62.5,23,8,28,18,50.0,9,2,16,35,2444000,17776000.0,12
12,Fred,BRA,MF,29,21,9,911,10.1,2,1,5,0,7,50,NULL,NULL,NULL,NULL,23,5,79.7,87.5,85.8,63.3,21,38,7,721,30,189,334,206,27,38.5,37.5,23,12,35,24,33.3,29,1,13,13,6760000,16280000.0,17
13,Scott McTominay,SCO,MF,26,16,7,785,8.7,0,0,5,0,8,22,NULL,NULL,NULL,NULL,7,3,82.8,84.6,88.5,69.2,3,20,2,418,50,140,198,82,14,60.0,58.8,20,6,20,16,54.5,7,3,9,34,4056000,27632000.0,39
14,Aaron Wan-Bissaka,ENG,DF,25,10,7,649,7.2,0,0,0,0,17,23,NULL,NULL,NULL,NULL,1,0,82.8,92.5,77.3,63.2,7,23,4,442,29,139,179,126,13,46.2,41.7,4,1,19,14,91.7,8,1,13,20,5200000,30184000.0,29
15,Anthony Martial,FRA,FW,27,9,6,458,5.1,3,2,0,0,7,15,NULL,NULL,NULL,NULL,11,5,80.5,89.7,84.8,33.3,5,9,4,173,3,5,70,98,23,44.4,62.5,4,3,0,0,0.0,3,0,1,2,13000000,28952000.0,9
16,Wout Weghorst,NED,FW,30,6,6,454,5.0,0,1,0,0,0,13,NULL,NULL,NULL,NULL,7,2,72.4,78.6,76.2,44.4,8,6,1,164,11,30,85,50,13,0.0,47.8,6,5,6,3,33.3,6,2,5,6,1612000,16280000.0,27
17,Victor Lindelöf,SWE,DF,28,9,5,542,6.0,0,0,0,0,1,17,NULL,NULL,NULL,NULL,0,0,92.3,94.4,95.7,60.6,0,19,0,448,53,222,215,12,0,0.0,76.2,2,1,8,6,83.3,6,3,9,28,8840000,21560000.0,2
18,Harry Maguire,ENG,DF,29,10,5,481,5.3,0,0,3,0,5,14,NULL,NULL,NULL,NULL,2,0,86.4,95.2,88.9,66.7,2,21,0,435,46,222,194,21,5,50.0,54.5,5,2,5,4,75.0,15,10,7,24,10400000,28160000.0,5
19,Anthony Elanga,SWE,FW,20,15,5,420,4.7,0,1,0,0,12,8,NULL,NULL,NULL,NULL,10,4,73.4,75.3,71.9,100.0,6,3,3,193,4,25,69,99,28,28.6,42.1,3,7,3,0,50.0,4,0,2,4,2236000,16720000.0,36
20,Alejandro Garnacho,ESP,FW,18,13,4,403,4.5,2,2,2,0,24,5,NULL,NULL,NULL,NULL,15,6,81.0,86.6,95.2,100.0,2,1,1,220,1,22,56,145,40,26.7,20.0,6,5,3,1,16.7,5,0,4,1,78000,2024000.0,49
21,Marcel Sabitzer,AUT,MF,28,4,3,260,2.9,0,0,1,0,1,20,NULL,NULL,NULL,NULL,3,1,80.5,84.8,85.0,72.7,5,15,3,191,10,44,99,50,4,NULL,57.1,5,1,9,6,50.0,5,1,4,8,5616000,21736000.0,15
22,Donny van de Beek,NED,MF,25,7,2,167,1.9,0,0,0,0,2,6,NULL,NULL,NULL,NULL,2,0,75.4,91.2,100.0,50.0,3,0,4,72,1,3,23,46,11,50.0,50.0,4,2,0,0,0.0,2,1,1,1,7280000,18040000.0,34
23,Facundo Pellistri,URU,FW,21,1,0,32,0.4,0,0,0,0,0,0,NULL,NULL,NULL,NULL,0,0,100.0,100.0,100.0,NULL,0,0,0,9,0,1,3,5,0,NULL,NULL,1,1,0,0,NULL,0,0,0,0,1404000,2904000.0,28
