,name,nationality,position,age,matches_played,starts,minutes,ninteys,goals,assists,yellow_card,red_card,progressive_carries,progressive_passes,goals_conceeded,shots_on_target_against,saves,clean_sheets,shots,shots_on_target,passes_com,passes_com_s,passes_com_m,passes_com_l,key_passes,passes_into_third,passes_into_pen,touches,touches_def_pen,touches_def_third,touches_mid_third,touches_att_third,touches_att_pen,sucessful_takeons,aerial_duels_won,fouls_committed,fouls_drawn,total_tackles,successful_tackles,percent_of_dribblers_tackled,blocks,shot_blocks,interceptions,clearances,salary,estimated_market_value,number,club
0,Aaron Ramsdale,ENG,GK,24,28,28,2520,28.0,0,0,0,0,0,7,26,90,65,12,0,0,69.0,95.7,97.8,38.2,0,21,2,850,614,829,21,0,0,100.0,100.0,0,3,1,1,100.0,0,0,0,14,3276000,40656000.0,1,Arsenal
1,Bukayo Saka,ENG,FW,21,28,28,2403,26.7,12,10,5,0,131,82,NULL,NULL,NULL,NULL,67,21,74.4,87.1,77.1,46.6,61,39,50,1456,13,116,381,974,182,36.1,23.1,31,45,39,23,42.3,31,0,13,18,1716000,64416000.0,7,Arsenal
2,William Saliba,FRA,DF,21,27,27,2415,26.8,2,1,4,0,13,99,NULL,NULL,NULL,NULL,6,3,91.0,93.2,93.3,75.0,6,111,3,2056,174,905,1094,64,15,72.7,55.2,19,13,34,20,83.3,13,10,19,85,1872000,22528000.0,12,Arsenal
3,Martin Odegaard,NOR,MF,24,27,27,2306,25.6,10,6,4,0,66,206,NULL,NULL,NULL,NULL,76,22,80.2,88.3,82.2,64.0,62,96,76,1552,19,141,632,793,96,59.0,37.0,24,19,26,15,27.3,11,3,4,7,5980000,53680000.0,8,Arsenal
4,Granit Xhaka,SUI,MF,30,28,27,2294,25.5,4,5,3,0,33,164,NULL,NULL,NULL,NULL,29,7,84.2,88.8,86.0,80.7,39,121,33,1523,63,254,721,555,89,50.0,56.6,19,33,26,20,43.3,23,9,10,35,5200000,27280000.0,34,Arsenal
5,Martinelli,BRA,FW,21,28,27,2252,25.0,13,2,3,0,100,81,NULL,NULL,NULL,NULL,67,25,74.9,85.4,82.2,49.5,43,28,32,1222,12,108,340,792,180,43.3,19.0,31,30,19,11,21.4,20,1,8,11,2444000,40744000.0,11,Arsenal
6,Ben White,ENG,DF,25,28,26,2155,23.9,1,3,4,0,51,190,NULL,NULL,NULL,NULL,7,1,83.4,91.0,87.3,53.7,21,168,33,1868,60,380,964,532,35,26.1,42.9,15,21,46,26,64.6,32,7,16,58,NULL,44792000.0,4,Arsenal
7,Thomas Partey,GHA,MF,29,23,21,1861,20.7,3,0,2,0,22,173,NULL,NULL,NULL,NULL,25,4,86.5,90.6,88.9,72.6,22,177,19,1741,55,309,1085,362,19,72.7,58.7,24,14,52,31,54.8,18,5,22,33,8320000,NULL,5,Arsenal
8,Oleksandr Zinchenko,UKR,DF,26,21,20,1654,18.4,1,2,2,0,59,186,NULL,NULL,NULL,NULL,23,6,86.8,92.9,87.4,71.2,18,154,35,1648,49,338,817,510,30,66.7,73.5,2,10,34,16,60.6,17,1,17,25,5200000,39160000.0,35,Arsenal
9,Gabriel Jesus,BRA,FW,25,16,14,1259,14.0,5,5,4,0,31,40,NULL,NULL,NULL,NULL,52,21,80.8,84.7,88.1,66.7,22,24,13,661,16,58,251,356,126,42.6,34.7,25,38,20,17,41.2,15,2,8,10,5200000,59928000.0,9,Arsenal
10,Eddie Nketiah,ENG,FW,23,23,9,1001,11.1,4,1,2,0,31,15,NULL,NULL,NULL,NULL,40,14,81.0,86.6,85.9,77.8,7,7,6,381,10,34,145,208,79,45.5,24.4,27,24,12,9,28.6,7,1,1,7,4004000,17160000.0,14,Arsenal
11,Takehiro Tomiyasu,JPN,DF,24,21,6,663,7.4,0,1,2,0,14,51,NULL,NULL,NULL,NULL,3,0,81.0,86.5,85.9,53.6,4,41,6,557,26,138,293,130,17,25.0,45.9,6,3,27,18,72.2,7,0,14,15,2964000,18040000.0,18,Arsenal
12,Leandro Trossard,BEL,FW,28,10,6,453,5.0,1,6,0,0,23,29,NULL,NULL,NULL,NULL,10,3,74.6,88.4,76.9,56.7,11,9,18,269,2,21,80,173,24,64.7,0.0,8,9,7,5,50.0,7,0,2,0,4680000,21912000.0,19,Arsenal
13,Kieran Tierney,SCO,DF,25,19,4,525,5.8,0,1,0,0,19,29,NULL,NULL,NULL,NULL,5,2,75.1,86.3,82.5,49.0,4,28,6,410,17,91,193,127,8,25.0,14.3,4,6,11,6,66.7,6,1,9,15,5720000,35024000.0,3,Arsenal
14,Jorginho,ITA,MF,31,6,4,355,3.9,0,0,0,0,7,50,NULL,NULL,NULL,NULL,3,0,84.1,87.6,88.2,75.7,3,38,6,338,10,65,200,75,7,50.0,46.2,3,4,8,4,11.1,2,1,4,3,NULL,20328000.0,20,Arsenal
15,Fabio Vieira,POR,MF,22,17,2,410,4.6,1,2,0,0,5,27,NULL,NULL,NULL,NULL,13,2,81.8,92.3,84.2,36.8,9,19,6,289,3,23,130,139,23,35.3,20.0,3,3,6,4,60.0,5,0,4,1,4264000,18040000.0,21,Arsenal
16,Mohamed Elneny,EGY,MF,30,5,1,113,1.3,0,0,0,0,1,2,NULL,NULL,NULL,NULL,0,0,95.0,100.0,93.1,100.0,0,3,2,63,2,11,42,11,0,NULL,0.0,1,1,1,1,100.0,0,0,0,0,2548000,3608000.0,25,Arsenal
17,Rob Holding,ENG,DF,27,8,1,110,1.2,0,0,0,0,2,8,NULL,NULL,NULL,NULL,1,0,90.9,94.1,96.4,81.8,0,4,0,93,7,37,53,3,1,100.0,66.7,1,1,3,2,100.0,1,0,0,6,1976000,6864000.0,16,Arsenal
18,Emile Smith Rowe,ENG,FW,22,8,0,116,1.3,0,1,0,0,2,4,NULL,NULL,NULL,NULL,4,1,86.4,91.7,87.5,66.7,5,2,3,79,1,11,20,48,8,50.0,0.0,1,1,1,1,50.0,0,0,0,2,2600000,18392000.0,10,Arsenal
19,Reiss Nelson,ENG,FW,23,4,0,106,1.2,3,2,0,0,11,2,NULL,NULL,NULL,NULL,6,5,86.4,92.3,88.2,50.0,6,1,4,80,2,10,10,61,13,100.0,25.0,3,2,2,1,100.0,1,0,0,1,1976000,3960000.0,24,Arsenal
20,Jakub Kiwior,POL,DF,23,1,0,5,0.1,0,0,0,0,0,0,NULL,NULL,NULL,NULL,0,0,100.0,100.0,100.0,NULL,0,0,0,7,1,4,3,0,0,NULL,NULL,0,0,1,0,100.0,0,0,0,0,3016000,23144000.0,15,Arsenal
21,Ethan Nwaneri,ENG,FW,15,1,0,1,0.0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,0,0,0,1,0,0,0,1,0,NULL,NULL,0,0,0,0,NULL,1,0,0,0,NULL,NULL,83,Arsenal
22,Ezri Konsa,ENG,DF,25,27,26,2332,25.9,0,0,4,0,5,33,NULL,NULL,NULL,NULL,7,0,87.2,91.2,93.5,57.2,7,43,4,1540,242,920,576,51,18,40.0,56.3,9,42,31,10,86.7,29,17,19,89,3744000,35200000.0,4,Aston Villa
23,Emiliano Martinez,ARG,GK,30,25,25,2194,24.4,0,0,5,0,0,0,32,96,67,7,0,0,75.2,100.0,99.2,46.8,2,16,0,984,829,974,10,0,0,NULL,100.0,0,5,0,0,0.0,0,0,1,12,5200000,35112000.0,1,Aston Villa
24,Ollie Watkins,ENG,FW,27,26,25,2143,23.8,9,5,1,0,37,31,NULL,NULL,NULL,NULL,57,31,69.7,75.4,71.6,75.0,23,22,12,672,27,61,279,343,113,23.9,38.4,17,28,14,9,33.3,16,1,8,24,2288000,41448000.0,11,Aston Villa
25,Tyrone Mings,ENG,DF,30,24,24,2160,24.0,0,2,4,0,10,67,NULL,NULL,NULL,NULL,3,1,85.0,90.4,92.9,53.7,5,72,4,1508,247,876,585,51,15,37.5,70.5,15,15,10,3,38.5,28,15,36,104,3484000,19448000.0,5,Aston Villa
26,Douglas Luiz,BRA,MF,24,26,22,1950,21.7,3,5,4,1,32,94,NULL,NULL,NULL,NULL,23,8,83.5,90.4,88.1,57.0,33,71,13,1465,47,379,810,293,14,56.7,51.4,32,27,48,26,45.0,30,5,31,15,2704000,30360000.0,6,Aston Villa
27,Leon Bailey,JAM,FW,25,26,21,1609,17.9,4,3,4,0,69,26,NULL,NULL,NULL,NULL,43,13,62.3,76.9,64.1,47.8,22,17,19,678,13,76,235,380,72,36.4,32.8,25,15,11,5,20.0,12,0,5,9,4420000,20240000.0,31,Aston Villa
28,Jacob Ramsey,ENG,MF,21,24,20,1678,18.6,3,2,4,0,57,75,NULL,NULL,NULL,NULL,16,8,82.5,88.5,83.1,75.7,23,56,17,878,37,164,455,272,49,37.1,31.6,21,31,51,32,51.2,36,6,17,22,3640000,23496000.0,41,Aston Villa
29,John McGinn,SCO,MF,28,23,19,1703,18.9,0,2,5,0,17,87,NULL,NULL,NULL,NULL,27,7,77.1,85.0,82.3,62.3,12,74,13,901,26,156,513,241,28,67.6,55.6,22,33,47,29,56.1,34,4,18,12,3640000,36432000.0,7,Aston Villa
30,Matty Cash,POL,DF,25,23,18,1639,18.2,0,1,3,0,41,74,NULL,NULL,NULL,NULL,7,1,78.1,89.8,82.5,45.6,8,55,15,1131,69,382,507,252,11,50.0,54.5,18,15,48,28,68.8,18,4,24,40,3328000,39688000.0,2,Aston Villa
31,Boubacar Kamara,FRA,MF,23,19,18,1524,16.9,0,1,3,0,14,80,NULL,NULL,NULL,NULL,4,1,84.9,89.9,91.1,71.4,7,58,6,1041,54,316,614,121,8,40.7,55.6,24,25,47,22,46.8,34,11,17,22,9100000,48048000.0,44,Aston Villa
32,Lucas Digne,FRA,DF,29,20,16,1291,14.3,1,0,3,0,23,51,NULL,NULL,NULL,NULL,7,3,76.2,89.6,74.6,48.4,15,34,19,957,56,326,344,292,21,6.3,54.3,17,20,26,10,63.0,14,5,15,36,6240000,27192000.0,27,Aston Villa
33,Ashley Young,ENG,DF,37,19,14,1278,14.2,1,0,3,0,16,69,NULL,NULL,NULL,NULL,8,2,74.4,89.1,80.1,42.7,10,45,13,911,53,331,432,161,4,41.7,52.9,16,13,38,20,83.9,18,8,15,40,4316000,1760000.0,18,Aston Villa
34,Philippe Coutinho,BRA,MF,30,20,7,788,8.8,1,0,3,0,18,48,NULL,NULL,NULL,NULL,21,8,75.0,85.7,73.2,47.2,8,30,8,500,2,34,259,213,24,41.2,18.8,16,14,19,14,60.0,11,1,4,2,6500000,16192000.0,23,Aston Villa
35,Alex Moreno,ESP,DF,29,9,5,576,6.4,0,2,2,0,23,12,NULL,NULL,NULL,NULL,7,2,75.3,82.8,78.6,38.5,12,7,9,436,23,140,167,133,24,46.7,75.0,13,6,9,6,35.0,11,3,3,10,NULL,14256000.0,15,Aston Villa
36,Leander Dendoncker,BEL,MF,27,13,3,365,4.1,0,0,0,0,1,10,NULL,NULL,NULL,NULL,1,0,87.1,92.1,89.8,60.0,5,10,0,200,12,56,113,31,5,50.0,46.2,1,0,11,4,53.8,11,3,6,6,3900000,12496000.0,32,Aston Villa
37,Calum Chambers,ENG,DF,28,8,2,238,2.6,0,0,1,0,3,11,NULL,NULL,NULL,NULL,1,0,80.1,89.1,88.1,54.2,0,5,1,171,22,94,62,17,0,NULL,50.0,6,1,3,3,50.0,5,4,6,3,2704000,5544000.0,16,Aston Villa
38,Robin Olsen,SWE,GK,33,3,2,236,2.6,0,0,0,0,0,0,7,16,9,1,0,0,58.6,93.3,100.0,33.8,0,2,0,120,101,118,2,0,0,NULL,NULL,0,0,0,0,0.0,0,0,0,1,1716000,1320000.0,25,Aston Villa
39,Diego Carlos,BRA,DF,30,2,2,179,2.0,0,0,0,0,0,10,NULL,NULL,NULL,NULL,4,0,78.9,83.3,86.4,58.3,0,8,0,140,8,49,85,9,4,NULL,50.0,1,0,1,0,0.0,2,2,1,2,5200000,21824000.0,3,Aston Villa
